need_treatment,rdisc_DESPOT,rdisc_ExpertDSA,rdisc_ExpertHOSP,rdisc_POMCP,rdisc_Random,time2recover_DESPOT,time2recover_ExpertDSA,time2recover_ExpertHOSP,time2recover_POMCP,time2recover_Random,treated_DESPOT,treated_ExpertDSA,treated_ExpertHOSP,treated_POMCP,treated_Random
false,4707.5,3850.0,-1604.375000000001,5000.0,-13650.456359155549,24.0,24.0,24.0,24.0,24.0,false,false,false,false,false
false,4095.0118882812485,3850.0,4250.0,3850.0,-6461.125000000001,24.0,24.0,24.0,24.0,24.0,false,false,false,false,false
false,4443.518749999999,3850.0,4250.0,5000.0,5000.0,24.0,24.0,24.0,24.0,24.0,false,false,false,false,false
false,4205.275671874999,-1327.5,4250.0,-450.0,-450.0,24.0,24.0,24.0,24.0,24.0,false,false,false,false,false
false,3389.8736904792577,3850.0,4250.0,5000.0,-19409.983921874995,24.0,24.0,24.0,24.0,24.0,false,false,false,false,false
true,2218.772187499999,8813.875,3728.874999999999,-50000.0,-48928.49999999999,5.0,3.0,3.0,24.0,24.0,true,true,true,false,false
false,4205.275671874999,3850.0,4250.0,4250.0,5000.0,24.0,24.0,24.0,24.0,24.0,false,false,false,false,false
false,4321.342812499999,3850.0,4250.0,-450.0,-6833.263296875,24.0,24.0,24.0,24.0,24.0,false,false,false,false,false
false,3751.3428124999996,3850.0,4250.0,5000.0,-5246.125000000001,24.0,24.0,24.0,24.0,24.0,false,false,false,false,false
false,4321.342812499999,3850.0,4250.0,4250.0,-34424.61060745939,24.0,24.0,24.0,24.0,24.0,false,false,false,false,false
false,4095.0118882812485,3850.0,4250.0,5000.0,-30852.32479547274,24.0,24.0,24.0,24.0,24.0,false,false,false,false,false
false,4443.518749999999,-1327.5,4250.0,4250.0,5000.0,24.0,24.0,24.0,24.0,24.0,false,false,false,false,false
false,2934.336293867186,3850.0,4250.0,4850.0,-48599.72398824631,24.0,24.0,24.0,24.0,24.0,false,false,false,false,false
false,3990.2612938671864,3850.0,4250.0,-450.0,-1162.5,24.0,24.0,24.0,24.0,24.0,false,false,false,false,false
true,11445.2553125,13278.875,12617.43125,-50000.0,-20211.32063704489,4.0,3.0,4.0,24.0,10.0,true,true,true,false,true
false,3706.4002768293776,3850.0,4250.0,5000.0,-15261.302839843747,24.0,24.0,24.0,24.0,24.0,false,false,false,false,false
false,4572.124999999999,3850.0,4250.0,5000.0,-5246.125000000001,24.0,24.0,24.0,24.0,24.0,false,false,false,false,false
false,3420.2612938671864,3850.0,4250.0,5000.0,-6759.9653124999995,24.0,24.0,24.0,24.0,24.0,false,false,false,false,false
false,4095.0118882812485,3850.0,4250.0,-450.0,5000.0,24.0,24.0,24.0,24.0,24.0,false,false,false,false,false
false,4095.0118882812485,3850.0,4250.0,4850.0,-1162.5,24.0,24.0,24.0,24.0,24.0,false,false,false,false,false
false,4707.5,3850.0,4250.0,4707.5,-15666.898142462713,24.0,24.0,24.0,24.0,24.0,false,false,false,false,false
false,3990.2612938671864,3850.0,4250.0,5000.0,-450.0,24.0,24.0,24.0,24.0,24.0,false,false,false,false,false
false,4321.342812499999,3850.0,4250.0,3850.0,-927.5,24.0,24.0,24.0,24.0,24.0,false,false,false,false,false
false,4095.0118882812485,3850.0,4250.0,5000.0,-15847.725890624997,24.0,24.0,24.0,24.0,24.0,false,false,false,false,false
false,4205.275671874999,3850.0,4250.0,5000.0,-27985.98532019531,24.0,24.0,24.0,24.0,24.0,false,false,false,false,false
false,-327.5,3850.0,4250.0,5000.0,4250.0,24.0,24.0,24.0,24.0,24.0,false,false,false,false,false
false,4443.518749999999,3850.0,4250.0,4250.0,4850.0,24.0,24.0,24.0,24.0,24.0,false,false,false,false,false
false,4572.124999999999,3850.0,4250.0,4250.0,-5511.125000000001,24.0,24.0,24.0,24.0,24.0,false,false,false,false,false
false,4321.342812499999,3850.0,4250.0,5000.0,-2704.8609375000005,24.0,24.0,24.0,24.0,24.0,false,false,false,false,false
false,4443.518749999999,3850.0,4250.0,4250.0,-1603.06875,24.0,24.0,24.0,24.0,24.0,false,false,false,false,false
false,4572.124999999999,3850.0,4250.0,5000.0,-727.8750000000009,24.0,24.0,24.0,24.0,24.0,false,false,false,false,false
false,4707.5,3850.0,4250.0,5000.0,5000.0,24.0,24.0,24.0,24.0,24.0,false,false,false,false,false
false,4572.124999999999,-6246.125000000001,4250.0,-450.0,4137.5,24.0,24.0,24.0,24.0,24.0,false,false,false,false,false
false,3463.024937346587,3850.0,4250.0,5000.0,-16109.650940802314,24.0,24.0,24.0,24.0,24.0,false,false,false,false,false
false,3706.4002768293776,3850.0,4250.0,4250.0,4250.0,24.0,24.0,24.0,24.0,24.0,false,false,false,false,false
false,3580.5868882812483,3850.0,4250.0,-727.8750000000009,-1162.5,24.0,24.0,24.0,24.0,24.0,false,false,false,false,false
