hc_DESPOT,hc_ExpertDSA,hc_ExpertHOSP,hc_POMCP,hc_Random,rdisc_DESPOT,rdisc_ExpertDSA,rdisc_ExpertHOSP,rdisc_POMCP,rdisc_Random,ttr_DESPOT,ttr_ExpertDSA,ttr_ExpertHOSP,ttr_POMCP,ttr_Random,Unnecessary_DSA,Unnecessary_HOSP,Unnecessary_POMCP,Unnecessary_Random
FALSE,FALSE,FALSE,FALSE,FALSE,5000,3850,5000,3850,5000,24,24,24,24,24,1,0,1,0
FALSE,FALSE,FALSE,FALSE,TRUE,-50000,-50000,-50000,-48500,-6049.127813,24,24,24,24,4,0,0,0,0
FALSE,FALSE,FALSE,FALSE,FALSE,5000,-1327.5,4250,-327.5,-450,24,24,24,24,24,1,1,1,1
FALSE,TRUE,FALSE,TRUE,FALSE,-50000,13278.875,-50000,2854.93125,-47400,24,3,24,4,24,0,0,0,0
FALSE,TRUE,FALSE,TRUE,FALSE,-50000,13278.875,-50000,12178.875,-46030,24,3,24,3,24,0,0,0,0
FALSE,FALSE,FALSE,FALSE,FALSE,5000,5000,5000,-327.5,-450,24,24,24,24,24,0,0,1,1
FALSE,FALSE,FALSE,FALSE,FALSE,5000,3850,4250,4850,-5937.964898,24,24,24,24,24,1,1,1,1
FALSE,FALSE,FALSE,FALSE,FALSE,5000,3850,4250,5000,5000,24,24,24,24,24,1,1,0,0
FALSE,FALSE,FALSE,FALSE,FALSE,5000,5000,4250,5000,3537.5,24,24,24,24,24,0,1,0,1
FALSE,FALSE,FALSE,FALSE,FALSE,-50000,-50000,-50000,-50000,-50000,24,24,24,24,24,0,0,0,0
FALSE,TRUE,FALSE,TRUE,TRUE,-50000,9172.5,-50000,3466.375,-1323.108922,24,2,24,3,4,0,0,0,0
FALSE,FALSE,FALSE,FALSE,FALSE,5000,5000,4250,3537.5,5000,24,24,24,24,24,0,1,1,0
FALSE,FALSE,FALSE,FALSE,FALSE,5000,3850,2860.625,5000,-6081.125,24,24,24,24,24,1,1,0,1
FALSE,FALSE,FALSE,FALSE,FALSE,5000,3850,3537.5,5000,-8588.038438,24,24,24,24,24,1,1,0,1
FALSE,TRUE,TRUE,TRUE,TRUE,-50000,13278.875,13228.875,12178.875,10845.43125,24,3,3,3,4,0,0,0,0
FALSE,TRUE,TRUE,FALSE,TRUE,-50000,9172.5,8716.375,-50000,4237.125,24,2,3,24,1,0,0,0,0
FALSE,TRUE,FALSE,TRUE,TRUE,-50000,9172.5,-50000,9122.5,-2185.499945,24,2,24,2,3,0,0,0,0
FALSE,FALSE,FALSE,FALSE,FALSE,5000,3850,5000,5000,-21336.74808,24,24,24,24,24,1,0,0,1
